id,hostname,ip,os,cpu,ram_gb,disk_gb,status,uptime_days
60,server-0060,192.168.28.214,Debian 12,2,16,1000,maintenance,23
61,server-0061,192.168.75.1,Windows Server 2022,4,64,500,maintenance,283
62,server-0062,192.168.253.96,CentOS 8,4,16,500,offline,236
63,server-0063,192.168.169.100,CentOS 8,2,64,2000,offline,78
64,server-0064,192.168.40.73,CentOS 8,32,4,2000,offline,294
65,server-0065,192.168.136.215,Windows Server 2022,2,8,2000,offline,7
66,server-0066,192.168.208.202,Ubuntu 22.04,32,8,100,online,232
67,server-0067,192.168.145.214,Windows Server 2022,4,4,1000,online,298
68,server-0068,192.168.57.77,Ubuntu 22.04,4,4,2000,maintenance,329
69,server-0069,192.168.200.251,Debian 12,16,64,100,online,223
70,server-0070,192.168.159.214,Ubuntu 22.04,16,16,2000,maintenance,60
71,server-0071,192.168.246.157,Ubuntu 22.04,4,4,1000,online,316
72,server-0072,192.168.133.154,CentOS 8,16,8,2000,offline,85
73,server-0073,192.168.11.28,Ubuntu 22.04,2,64,2000,maintenance,227
74,server-0074,192.168.122.30,Ubuntu 22.04,4,32,500,offline,81
75,server-0075,192.168.113.84,Ubuntu 22.04,4,16,100,online,327
76,server-0076,192.168.98.238,Windows Server 2022,32,16,2000,online,180
77,server-0077,192.168.43.38,Windows Server 2022,8,16,500,maintenance,99
78,server-0078,192.168.238.36,Debian 12,4,64,500,maintenance,74
79,server-0079,192.168.64.61,Windows Server 2022,4,8,500,online,183
80,server-0080,192.168.122.213,Debian 12,2,4,1000,offline,126
81,server-0081,192.168.40.207,Ubuntu 22.04,16,32,100,offline,72
82,server-0082,192.168.122.48,Debian 12,4,8,500,online,321
83,server-0083,192.168.99.128,CentOS 8,32,8,2000,online,317
84,server-0084,192.168.116.190,Windows Server 2022,16,4,100,maintenance,166
85,server-0085,192.168.74.214,Windows Server 2022,8,16,1000,maintenance,7
86,server-0086,192.168.101.63,Ubuntu 22.04,16,64,2000,offline,92
87,server-0087,192.168.149.141,Ubuntu 22.04,16,64,1000,offline,27
88,server-0088,192.168.122.34,Debian 12,16,32,2000,online,304
89,server-0089,192.168.50.131,CentOS 8,8,32,1000,offline,162
90,server-0090,192.168.110.43,Windows Server 2022,16,8,2000,maintenance,238
91,server-0091,192.168.26.97,Windows Server 2022,32,4,2000,maintenance,357
92,server-0092,192.168.250.115,CentOS 8,2,64,100,offline,138
93,server-0093,192.168.208.145,CentOS 8,32,8,500,maintenance,314
94,server-0094,192.168.74.53,Ubuntu 22.04,16,8,2000,offline,111
95,server-0095,192.168.235.244,Windows Server 2022,2,4,2000,maintenance,327
96,server-0096,192.168.47.135,CentOS 8,2,32,1000,online,351
97,server-0097,192.168.219.211,Windows Server 2022,2,16,2000,offline,275
98,server-0098,192.168.196.85,Debian 12,8,4,500,offline,67
99,server-0099,192.168.173.97,CentOS 8,4,16,1000,maintenance,72
100,server-0100,192.168.157.87,Windows Server 2022,16,64,2000,offline,81
101,server-0101,192.168.181.117,Ubuntu 22.04,4,8,500,online,25
102,server-0102,192.168.144.26,Debian 12,2,4,2000,offline,345
103,server-0103,192.168.239.239,CentOS 8,16,64,500,maintenance,92
104,server-0104,192.168.8.206,CentOS 8,4,16,500,maintenance,361
105,server-0105,192.168.247.94,Ubuntu 22.04,16,16,100,maintenance,345
106,server-0106,192.168.237.152,Windows Server 2022,2,16,500,online,12
107,server-0107,192.168.239.79,Windows Server 2022,16,32,2000,offline,83
108,server-0108,192.168.174.117,Ubuntu 22.04,8,32,100,maintenance,209
109,server-0109,192.168.218.23,Windows Server 2022,2,16,1000,offline,233
110,server-0110,192.168.209.146,Debian 12,16,16,500,maintenance,181
111,server-0111,192.168.53.76,CentOS 8,2,4,2000,offline,323
112,server-0112,192.168.113.113,CentOS 8,2,64,500,offline,278
113,server-0113,192.168.73.81,Debian 12,32,8,100,maintenance,353
114,server-0114,192.168.46.131,CentOS 8,32,8,2000,offline,158
115,server-0115,192.168.183.203,CentOS 8,8,32,1000,online,361
116,server-0116,192.168.124.23,Windows Server 2022,32,16,100,maintenance,306
117,server-0117,192.168.136.90,Windows Server 2022,4,16,500,offline,64
118,server-0118,192.168.248.49,Debian 12,4,64,1000,online,69
119,server-0119,192.168.177.94,Windows Server 2022,32,16,1000,offline,29
120,server-0120,192.168.161.126,Debian 12,8,64,1000,maintenance,283
121,server-0121,192.168.75.78,Ubuntu 22.04,32,8,100,maintenance,271
122,server-0122,192.168.76.84,Ubuntu 22.04,32,8,1000,offline,43
123,server-0123,192.168.171.114,Debian 12,16,64,1000,online,110
124,server-0124,192.168.217.38,Debian 12,2,64,2000,online,225
125,server-0125,192.168.40.250,CentOS 8,16,4,100,offline,227
126,server-0126,192.168.99.148,Debian 12,2,4,2000,maintenance,209
127,server-0127,192.168.127.175,Windows Server 2022,32,4,500,maintenance,236
128,server-0128,192.168.8.176,Ubuntu 22.04,4,32,100,online,258
129,server-0129,192.168.217.151,Ubuntu 22.04,2,8,100,online,282
130,server-0130,192.168.36.19,Ubuntu 22.04,8,4,500,maintenance,157
131,server-0131,192.168.176.224,Debian 12,16,16,1000,maintenance,168
132,server-0132,192.168.46.2,CentOS 8,2,8,1000,online,20
133,server-0133,192.168.50.165,Ubuntu 22.04,8,16,500,offline,211
134,server-0134,192.168.112.90,CentOS 8,16,4,500,online,63
135,server-0135,192.168.179.195,Debian 12,4,32,500,online,258
136,server-0136,192.168.216.35,Windows Server 2022,2,32,1000,offline,316
137,server-0137,192.168.248.222,Windows Server 2022,32,32,1000,maintenance,100
138,server-0138,192.168.67.23,Debian 12,2,8,500,maintenance,179
139,server-0139,192.168.235.200,Ubuntu 22.04,4,64,2000,online,331
140,server-0140,192.168.145.246,Debian 12,4,4,500,offline,199
141,server-0141,192.168.217.181,CentOS 8,32,64,100,offline,58
142,server-0142,192.168.118.62,Windows Server 2022,4,64,1000,offline,256
143,server-0143,192.168.169.145,Windows Server 2022,32,16,100,offline,280
144,server-0144,192.168.255.28,Debian 12,32,8,2000,offline,230
145,server-0145,192.168.51.55,Windows Server 2022,16,32,100,offline,68
146,server-0146,192.168.100.218,Ubuntu 22.04,2,8,100,online,325
147,server-0147,192.168.80.8,Debian 12,16,4,1000,online,164
148,server-0148,192.168.131.15,CentOS 8,16,8,1000,maintenance,257
149,server-0149,192.168.109.23,Ubuntu 22.04,32,64,500,online,239
150,server-0150,192.168.86.200,Ubuntu 22.04,16,4,500,online,296
151,server-0151,192.168.7.50,Debian 12,8,8,1000,online,253
152,server-0152,192.168.55.70,Windows Server 2022,8,64,1000,online,214
153,server-0153,192.168.78.145,CentOS 8,16,32,2000,maintenance,287
154,server-0154,192.168.123.151,CentOS 8,32,64,500,offline,34
155,server-0155,192.168.94.42,CentOS 8,4,16,100,maintenance,75
156,server-0156,192.168.75.128,CentOS 8,4,64,500,offline,201
157,server-0157,192.168.110.154,Windows Server 2022,16,8,100,maintenance,192
158,server-0158,192.168.39.166,CentOS 8,8,32,100,offline,258
159,server-0159,192.168.183.83,Debian 12,4,16,2000,offline,156
160,server-0160,192.168.53.114,Ubuntu 22.04,8,64,100,offline,256
161,server-0161,192.168.170.82,CentOS 8,2,8,2000,maintenance,197
162,server-0162,192.168.194.161,Debian 12,16,16,500,maintenance,241
163,server-0163,192.168.120.140,Ubuntu 22.04,8,64,1000,maintenance,34
164,server-0164,192.168.23.15,Windows Server 2022,4,16,100,offline,63
165,server-0165,192.168.4.207,Windows Server 2022,16,8,2000,online,118
166,server-0166,192.168.23.100,CentOS 8,32,4,1000,maintenance,238
167,server-0167,192.168.30.79,Debian 12,8,16,500,maintenance,26
168,server-0168,192.168.115.19,CentOS 8,2,16,500,online,176
169,server-0169,192.168.141.159,Windows Server 2022,8,4,2000,offline,163
170,server-0170,192.168.17.154,Debian 12,16,16,500,online,332
171,server-0171,192.168.176.254,Ubuntu 22.04,16,32,500,offline,255
172,server-0172,192.168.132.196,Ubuntu 22.04,32,16,1000,offline,115
173,server-0173,192.168.7.1,Windows Server 2022,32,8,1000,maintenance,308
174,server-0174,192.168.149.169,Windows Server 2022,32,64,500,online,288
175,server-0175,192.168.52.27,Ubuntu 22.04,32,16,2000,online,308
176,server-0176,192.168.79.77,Windows Server 2022,8,64,100,offline,294
177,server-0177,192.168.84.207,Windows Server 2022,32,64,1000,maintenance,196
178,server-0178,192.168.250.184,Windows Server 2022,8,16,1000,offline,121
179,server-0179,192.168.208.76,Ubuntu 22.04,32,32,1000,maintenance,250
180,server-0180,192.168.85.131,Ubuntu 22.04,32,8,500,online,352
181,server-0181,192.168.163.215,CentOS 8,2,16,500,online,121
182,server-0182,192.168.169.125,Windows Server 2022,4,32,1000,maintenance,289
183,server-0183,192.168.225.231,CentOS 8,32,16,100,offline,130
184,server-0184,192.168.201.175,Debian 12,32,16,500,offline,18
185,server-0185,192.168.243.77,Windows Server 2022,32,32,1000,online,165
186,server-0186,192.168.238.189,Windows Server 2022,16,32,100,online,265
187,server-0187,192.168.29.6,Debian 12,2,4,1000,maintenance,155
188,server-0188,192.168.4.161,Windows Server 2022,16,32,1000,offline,24
189,server-0189,192.168.209.141,Windows Server 2022,32,64,500,online,12
190,server-0190,192.168.115.154,Debian 12,2,64,1000,offline,264
191,server-0191,192.168.94.140,CentOS 8,4,32,100,offline,256
192,server-0192,192.168.175.251,CentOS 8,2,8,100,maintenance,189
193,server-0193,192.168.92.174,CentOS 8,8,8,2000,maintenance,253
194,server-0194,192.168.60.9,CentOS 8,8,4,1000,online,31
195,server-0195,192.168.20.228,Debian 12,16,64,1000,offline,328
196,server-0196,192.168.237.131,CentOS 8,8,16,1000,offline,3
197,server-0197,192.168.94.189,CentOS 8,16,16,1000,maintenance,342
198,server-0198,192.168.181.237,CentOS 8,32,8,1000,maintenance,78
199,server-0199,192.168.189.9,Windows Server 2022,4,64,2000,online,76
200,server-0200,192.168.47.96,Ubuntu 22.04,2,16,2000,online,185
201,server-0201,192.168.42.50,Windows Server 2022,16,32,2000,offline,114
202,server-0202,192.168.199.146,CentOS 8,2,16,2000,maintenance,191
203,server-0203,192.168.173.216,Windows Server 2022,16,16,100,offline,360
204,server-0204,192.168.51.233,Ubuntu 22.04,8,4,100,maintenance,107
205,server-0205,192.168.66.36,Ubuntu 22.04,2,8,1000,offline,70
206,server-0206,192.168.65.247,Ubuntu 22.04,8,64,500,offline,106
207,server-0207,192.168.49.14,Ubuntu 22.04,2,32,1000,offline,264
208,server-0208,192.168.56.143,CentOS 8,2,64,1000,online,241
209,server-0209,192.168.102.124,Debian 12,32,8,100,offline,205
210,server-0210,192.168.185.132,Windows Server 2022,4,32,1000,online,215
211,server-0211,192.168.146.44,Windows Server 2022,2,8,2000,online,235
212,server-0212,192.168.5.123,Windows Server 2022,16,32,100,online,194
213,server-0213,192.168.245.60,CentOS 8,32,64,1000,offline,112
214,server-0214,192.168.100.102,Ubuntu 22.04,4,4,500,maintenance,209
215,server-0215,192.168.96.234,Ubuntu 22.04,4,8,100,maintenance,110
216,server-0216,192.168.166.1,Ubuntu 22.04,32,4,2000,maintenance,7
217,server-0217,192.168.62.126,CentOS 8,16,64,100,maintenance,337
218,server-0218,192.168.103.26,Windows Server 2022,2,8,500,offline,147
219,server-0219,192.168.0.57,Windows Server 2022,4,32,100,online,246
220,server-0220,192.168.83.194,Windows Server 2022,4,32,1000,offline,157
221,server-0221,192.168.60.32,Ubuntu 22.04,4,64,2000,maintenance,158
222,server-0222,192.168.168.174,Debian 12,8,32,500,online,151
223,server-0223,192.168.56.206,Windows Server 2022,16,4,1000,offline,60
224,server-0224,192.168.250.38,Windows Server 2022,4,16,500,maintenance,25
225,server-0225,192.168.240.14,CentOS 8,8,32,500,online,235
226,server-0226,192.168.79.141,Debian 12,32,16,2000,online,74
227,server-0227,192.168.154.211,Windows Server 2022,4,4,1000,maintenance,173
228,server-0228,192.168.223.40,Windows Server 2022,8,16,500,online,77
229,server-0229,192.168.207.150,CentOS 8,8,8,100,maintenance,117
230,server-0230,192.168.191.79,Ubuntu 22.04,16,32,500,offline,293
231,server-0231,192.168.91.57,CentOS 8,8,16,100,online,262
232,server-0232,192.168.192.75,Windows Server 2022,16,64,2000,offline,21
233,server-0233,192.168.186.213,Ubuntu 22.04,16,16,1000,online,199
234,server-0234,192.168.174.250,Ubuntu 22.04,32,8,100,offline,326
235,server-0235,192.168.134.160,Windows Server 2022,32,32,1000,maintenance,171
236,server-0236,192.168.185.160,Windows Server 2022,8,8,1000,offline,214
237,server-0237,192.168.167.31,Debian 12,4,16,1000,offline,181
238,server-0238,192.168.115.63,Ubuntu 22.04,8,8,1000,offline,152
239,server-0239,192.168.236.145,Ubuntu 22.04,32,32,500,online,85
240,server-0240,192.168.80.139,Windows Server 2022,4,8,1000,maintenance,123
241,server-0241,192.168.185.195,Windows Server 2022,2,8,100,offline,10
242,server-0242,192.168.153.137,Debian 12,8,4,100,online,31
243,server-0243,192.168.82.182,Windows Server 2022,16,16,2000,online,360
244,server-0244,192.168.119.225,Ubuntu 22.04,4,16,1000,maintenance,117
245,server-0245,192.168.163.227,Debian 12,2,4,2000,maintenance,13
246,server-0246,192.168.94.106,Ubuntu 22.04,32,64,100,offline,278
247,server-0247,192.168.101.244,Ubuntu 22.04,16,32,500,offline,118
248,server-0248,192.168.87.112,Ubuntu 22.04,8,16,500,online,121
249,server-0249,192.168.55.99,Ubuntu 22.04,32,64,100,online,337
250,server-0250,192.168.244.145,Debian 12,16,4,500,offline,85
251,server-0251,192.168.136.150,Debian 12,2,8,100,maintenance,2
252,server-0252,192.168.156.231,Debian 12,8,4,100,offline,323
253,server-0253,192.168.212.191,Windows Server 2022,4,4,500,online,40
254,server-0254,192.168.250.216,CentOS 8,16,64,2000,maintenance,53
255,server-0255,192.168.79.165,CentOS 8,32,16,500,maintenance,356
256,server-0256,192.168.167.219,Debian 12,32,8,100,maintenance,213
257,server-0257,192.168.3.40,CentOS 8,16,16,100,maintenance,189
258,server-0258,192.168.224.157,Windows Server 2022,32,16,2000,online,289
259,server-0259,192.168.125.126,Ubuntu 22.04,2,4,2000,maintenance,240
260,server-0260,192.168.11.254,CentOS 8,2,32,2000,maintenance,268
261,server-0261,192.168.114.160,Windows Server 2022,16,16,500,offline,148
262,server-0262,192.168.62.191,Debian 12,8,4,100,online,135
263,server-0263,192.168.239.81,Ubuntu 22.04,32,16,1000,maintenance,70
264,server-0264,192.168.174.31,Ubuntu 22.04,2,4,2000,offline,110
265,server-0265,192.168.22.65,CentOS 8,4,16,1000,offline,242
266,server-0266,192.168.230.207,Debian 12,2,16,1000,offline,28
267,server-0267,192.168.247.41,Ubuntu 22.04,32,4,500,online,316
268,server-0268,192.168.237.252,Debian 12,16,32,100,offline,242
269,server-0269,192.168.128.93,Windows Server 2022,8,4,100,offline,110
270,server-0270,192.168.15.4,CentOS 8,16,32,100,offline,165
271,server-0271,192.168.203.109,Debian 12,16,4,500,offline,352
272,server-0272,192.168.113.58,Windows Server 2022,4,16,500,maintenance,49
273,server-0273,192.168.146.156,CentOS 8,4,32,1000,online,317
274,server-0274,192.168.123.252,Debian 12,32,32,500,maintenance,124
275,server-0275,192.168.126.161,Debian 12,32,64,2000,maintenance,275
276,server-0276,192.168.232.178,CentOS 8,2,32,500,maintenance,80
277,server-0277,192.168.251.65,CentOS 8,4,64,100,offline,354
278,server-0278,192.168.19.118,CentOS 8,4,4,100,offline,45
279,server-0279,192.168.165.100,Ubuntu 22.04,4,8,100,maintenance,95
280,server-0280,192.168.254.112,Ubuntu 22.04,16,16,2000,maintenance,42
281,server-0281,192.168.151.34,Debian 12,8,32,1000,offline,166
282,server-0282,192.168.58.109,Windows Server 2022,8,16,2000,maintenance,204
283,server-0283,192.168.91.18,CentOS 8,16,8,2000,maintenance,111
284,server-0284,192.168.185.99,Debian 12,2,64,2000,maintenance,359
285,server-0285,192.168.140.101,CentOS 8,32,4,100,offline,239
286,server-0286,192.168.110.194,Windows Server 2022,8,4,1000,online,159
287,server-0287,192.168.180.216,Windows Server 2022,32,4,1000,maintenance,327
288,server-0288,192.168.229.76,CentOS 8,2,8,500,maintenance,194
289,server-0289,192.168.59.236,CentOS 8,32,4,1000,maintenance,22
290,server-0290,192.168.29.180,Windows Server 2022,16,4,2000,maintenance,267
291,server-0291,192.168.116.78,Windows Server 2022,16,8,500,maintenance,129
292,server-0292,192.168.28.206,Windows Server 2022,8,32,500,maintenance,220
293,server-0293,192.168.123.208,Ubuntu 22.04,8,64,500,offline,195
294,server-0294,192.168.128.188,Ubuntu 22.04,2,8,100,offline,169
295,server-0295,192.168.169.81,CentOS 8,8,64,1000,offline,60
296,server-0296,192.168.237.23,Ubuntu 22.04,4,32,2000,maintenance,58
297,server-0297,192.168.32.225,CentOS 8,32,32,2000,online,214
298,server-0298,192.168.93.232,Ubuntu 22.04,16,8,1000,online,362
299,server-0299,192.168.219.56,Windows Server 2022,32,8,100,maintenance,119
300,server-0300,192.168.58.45,Debian 12,2,64,100,offline,234
301,server-0301,192.168.47.128,CentOS 8,4,16,500,maintenance,156
302,server-0302,192.168.226.187,Debian 12,4,4,2000,offline,84
303,server-0303,192.168.158.27,CentOS 8,16,8,500,offline,128
304,server-0304,192.168.171.165,Debian 12,16,64,1000,offline,318
305,server-0305,192.168.57.251,CentOS 8,8,64,100,offline,329
306,server-0306,192.168.187.227,CentOS 8,32,16,500,online,169
307,server-0307,192.168.198.139,CentOS 8,32,4,2000,offline,315
308,server-0308,192.168.216.47,CentOS 8,16,4,100,online,224
309,server-0309,192.168.111.146,Ubuntu 22.04,2,16,1000,offline,174
310,server-0310,192.168.98.23,CentOS 8,4,64,1000,offline,262
311,server-0311,192.168.143.106,Ubuntu 22.04,4,8,1000,offline,364
312,server-0312,192.168.191.19,Debian 12,8,8,2000,maintenance,64
313,server-0313,192.168.224.46,Ubuntu 22.04,4,8,100,maintenance,135
314,server-0314,192.168.82.147,Ubuntu 22.04,16,8,100,online,141
315,server-0315,192.168.70.193,Ubuntu 22.04,2,4,2000,online,87
316,server-0316,192.168.89.36,Ubuntu 22.04,2,8,2000,offline,20
317,server-0317,192.168.78.83,CentOS 8,16,4,100,online,38
318,server-0318,192.168.146.18,Windows Server 2022,8,64,1000,online,322
319,server-0319,192.168.77.79,Ubuntu 22.04,16,4,2000,maintenance,19
320,server-0320,192.168.254.232,CentOS 8,8,64,100,maintenance,109
321,server-0321,192.168.97.145,CentOS 8,8,16,100,maintenance,325
322,server-0322,192.168.210.116,Debian 12,16,32,2000,maintenance,32
323,server-0323,192.168.126.132,Debian 12,2,16,100,offline,22
324,server-0324,192.168.198.208,Debian 12,8,4,2000,offline,365
325,server-0325,192.168.110.181,Windows Server 2022,8,64,1000,maintenance,306
326,server-0326,192.168.33.243,CentOS 8,2,32,2000,maintenance,14
327,server-0327,192.168.221.247,CentOS 8,2,16,2000,maintenance,189
328,server-0328,192.168.253.230,Windows Server 2022,2,16,500,maintenance,31
329,server-0329,192.168.45.208,CentOS 8,32,16,1000,offline,72
330,server-0330,192.168.16.70,Windows Server 2022,2,8,2000,maintenance,86
331,server-0331,192.168.62.40,CentOS 8,2,4,1000,online,255
332,server-0332,192.168.69.41,Windows Server 2022,16,32,2000,online,100
333,server-0333,192.168.6.170,CentOS 8,4,64,500,offline,124
334,server-0334,192.168.114.5,CentOS 8,16,16,1000,maintenance,213
335,server-0335,192.168.221.117,Windows Server 2022,2,4,2000,maintenance,230
336,server-0336,192.168.252.203,Ubuntu 22.04,16,32,1000,online,334
337,server-0337,192.168.171.89,Ubuntu 22.04,4,64,1000,online,282
338,server-0338,192.168.135.248,CentOS 8,32,32,100,maintenance,101
339,server-0339,192.168.231.171,Windows Server 2022,32,16,500,offline,39
340,server-0340,192.168.179.121,Windows Server 2022,2,32,500,offline,213
341,server-0341,192.168.243.164,Debian 12,32,32,2000,maintenance,19
342,server-0342,192.168.89.68,CentOS 8,32,4,1000,online,326
343,server-0343,192.168.44.172,Ubuntu 22.04,16,8,1000,offline,18
344,server-0344,192.168.87.108,Ubuntu 22.04,4,32,100,offline,208
345,server-0345,192.168.0.80,Debian 12,8,8,1000,maintenance,214
346,server-0346,192.168.238.152,Windows Server 2022,16,8,100,offline,339
347,server-0347,192.168.38.145,CentOS 8,16,4,2000,offline,131
348,server-0348,192.168.62.15,CentOS 8,32,64,100,online,248
349,server-0349,192.168.2.172,CentOS 8,8,16,100,offline,323
350,server-0350,192.168.103.189,Ubuntu 22.04,16,32,2000,maintenance,186
351,server-0351,192.168.204.22,Windows Server 2022,32,32,1000,maintenance,282
352,server-0352,192.168.25.195,Windows Server 2022,8,32,2000,maintenance,92
353,server-0353,192.168.222.10,Debian 12,4,8,1000,maintenance,117
354,server-0354,192.168.191.237,CentOS 8,8,4,500,online,176
355,server-0355,192.168.192.185,CentOS 8,16,64,100,offline,62
356,server-0356,192.168.233.22,Windows Server 2022,16,64,1000,maintenance,166
357,server-0357,192.168.6.150,CentOS 8,32,16,500,offline,42
358,server-0358,192.168.125.155,Ubuntu 22.04,8,4,1000,offline,247
359,server-0359,192.168.174.147,Ubuntu 22.04,2,8,100,maintenance,204
360,server-0360,192.168.106.250,Windows Server 2022,4,8,100,offline,240
361,server-0361,192.168.44.23,CentOS 8,8,64,1000,offline,153
362,server-0362,192.168.26.83,Ubuntu 22.04,8,8,100,maintenance,161
363,server-0363,192.168.187.245,Windows Server 2022,32,64,100,offline,281
364,server-0364,192.168.155.96,Debian 12,2,4,2000,online,210
365,server-0365,192.168.137.84,CentOS 8,32,16,2000,online,358
366,server-0366,192.168.224.5,CentOS 8,32,8,500,offline,189
367,server-0367,192.168.162.179,Windows Server 2022,16,4,100,online,143
368,server-0368,192.168.241.23,Ubuntu 22.04,16,8,2000,online,74
369,server-0369,192.168.15.184,Windows Server 2022,16,4,500,online,181
370,server-0370,192.168.46.47,Ubuntu 22.04,4,8,500,online,353
371,server-0371,192.168.40.101,Debian 12,32,32,100,maintenance,260
372,server-0372,192.168.180.83,CentOS 8,4,16,1000,offline,221
373,server-0373,192.168.19.172,Windows Server 2022,32,4,500,offline,117
374,server-0374,192.168.197.82,Windows Server 2022,8,8,2000,online,300
375,server-0375,192.168.26.61,Debian 12,8,8,1000,online,36
376,server-0376,192.168.178.50,Ubuntu 22.04,32,16,500,online,59
377,server-0377,192.168.109.50,Ubuntu 22.04,16,4,100,online,307
378,server-0378,192.168.133.9,CentOS 8,32,4,2000,maintenance,9
379,server-0379,192.168.157.119,Windows Server 2022,8,32,100,maintenance,188
380,server-0380,192.168.45.14,Ubuntu 22.04,32,32,1000,offline,88
381,server-0381,192.168.222.203,CentOS 8,16,16,2000,offline,201
382,server-0382,192.168.20.112,Windows Server 2022,32,4,2000,offline,186
383,server-0383,192.168.105.184,Debian 12,4,32,1000,online,319
384,server-0384,192.168.99.120,Windows Server 2022,16,32,1000,offline,129
385,server-0385,192.168.124.113,Ubuntu 22.04,4,64,1000,online,14
386,server-0386,192.168.234.107,Windows Server 2022,4,8,2000,online,53
387,server-0387,192.168.201.24,Windows Server 2022,4,32,2000,online,7
388,server-0388,192.168.236.66,Ubuntu 22.04,2,16,1000,maintenance,197
389,server-0389,192.168.61.26,CentOS 8,32,8,1000,online,287
390,server-0390,192.168.147.178,Ubuntu 22.04,16,64,1000,offline,322
391,server-0391,192.168.250.236,Ubuntu 22.04,32,8,2000,maintenance,290
392,server-0392,192.168.255.101,Windows Server 2022,2,32,1000,offline,342
393,server-0393,192.168.215.131,Debian 12,32,8,1000,online,219
394,server-0394,192.168.170.91,Debian 12,4,16,2000,online,322
